ts,open,high,low,close,volume
2025-03-10 00:00:00-04:00,252.5399932861328,253.3699951171875,220.0,222.14999389648438,189076900
2025-03-11 00:00:00-04:00,225.30999755859375,237.05999755859375,217.02000427246094,230.5800018310547,174896400
2025-03-12 00:00:00-04:00,247.22000122070312,251.83999633789062,241.10000610351562,248.08999633789062,142215700
2025-03-13 00:00:00-04:00,248.1300048828125,248.2899932861328,232.60000610351562,240.67999267578125,114813500
2025-03-14 00:00:00-04:00,247.30999755859375,251.5800018310547,240.72999572753906,249.97999572753906,100242300
2025-03-17 00:00:00-04:00,245.05999755859375,245.39999389648438,232.8000030517578,238.00999450683594,111900600
2025-03-18 00:00:00-04:00,228.16000366210938,230.10000610351562,222.27999877929688,225.30999755859375,111477600
2025-03-19 00:00:00-04:00,231.61000061035156,241.41000366210938,229.1999969482422,235.86000061035156,111993800
2025-03-20 00:00:00-04:00,233.35000610351562,238.0,230.0500030517578,236.25999450683594,99028300
2025-03-21 00:00:00-04:00,234.99000549316406,249.52000427246094,234.5500030517578,248.7100067138672,132728700
2025-03-24 00:00:00-04:00,258.0799865722656,278.6400146484375,256.3299865722656,278.3900146484375,169079900
2025-03-25 00:00:00-04:00,283.6000061035156,288.20001220703125,271.2799987792969,288.1400146484375,150361500
2025-03-26 00:00:00-04:00,282.6600036621094,284.8999938964844,266.510009765625,272.05999755859375,153629800
2025-03-27 00:00:00-04:00,272.4800109863281,291.8500061035156,271.82000732421875,273.1300048828125,162572100
2025-03-28 00:00:00-04:00,275.5799865722656,276.1000061035156,260.57000732421875,263.54998779296875,123809400
2025-03-31 00:00:00-04:00,249.30999755859375,260.55999755859375,243.36000061035156,259.1600036621094,134008900
2025-04-01 00:00:00-04:00,263.79998779296875,277.45001220703125,259.25,268.4599914550781,146486900
2025-04-02 00:00:00-04:00,254.60000610351562,284.989990234375,251.27000427246094,282.760009765625,212787800
2025-04-03 00:00:00-04:00,265.2900085449219,276.29998779296875,261.510009765625,267.2799987792969,136174300
2025-04-04 00:00:00-04:00,255.3800048828125,261.0,236.0,239.42999267578125,181229400
2025-04-07 00:00:00-04:00,223.77999877929688,252.0,214.25,233.2899932861328,183453800
2025-04-08 00:00:00-04:00,245.0,250.44000244140625,217.8000030517578,221.86000061035156,171603500
2025-04-09 00:00:00-04:00,224.69000244140625,274.69000244140625,223.8800048828125,272.20001220703125,219433400
2025-04-10 00:00:00-04:00,260.0,262.489990234375,239.3300018310547,252.39999389648438,181722600
2025-04-11 00:00:00-04:00,251.83999633789062,257.739990234375,241.36000061035156,252.30999755859375,128948100
2025-04-14 00:00:00-04:00,258.3599853515625,261.79998779296875,245.92999267578125,252.35000610351562,100135200
2025-04-15 00:00:00-04:00,249.91000366210938,258.75,247.5399932861328,254.11000061035156,79594300
2025-04-16 00:00:00-04:00,247.61000061035156,251.97000122070312,233.88999938964844,241.5500030517578,112378700
2025-04-17 00:00:00-04:00,243.47000122070312,244.33999633789062,237.67999267578125,241.3699951171875,83404800
